alien,1,1,1,1,2016,2,18,8,6,11.047
alien,2,1,1,1,2016,2,18,8,12,29.248
alien,3,1,1,1,2016,2,18,8,12,46.75
foster,4,1,2,1,2016,2,18,8,12,50.189
alien,5,1,1,1,2016,2,18,8,12,56.48
alien,7,1,1,1,2016,2,18,8,13,0.126
alien,9,1,1,1,2016,2,18,8,13,4.188
alien,10,1,1,1,2016,2,18,8,13,7.735
alien,12,1,1,1,2016,2,18,8,13,12.725
alien,13,1,1,1,2016,2,18,8,13,16.394
alien,14,1,1,1,2016,2,18,8,13,24.285
foster,15,1,2,1,2016,2,18,8,13,28.084
foster,16,1,2,1,2016,2,18,8,13,54.269
alien,17,1,1,1,2016,2,18,8,14,0.218
foster,20,1,2,1,2016,2,18,8,14,3.228
foster,21,1,2,1,2016,2,18,8,14,6.631
alien,25,1,1,1,2016,2,18,8,14,12.101
foster,27,1,2,1,2016,2,18,8,14,15.798
alien,30,1,1,1,2016,2,18,8,14,19.297
alien,34,1,1,1,2016,2,18,8,14,28.898
alien,35,1,1,1,2016,2,18,8,14,32.642
alien,37,1,1,1,2016,2,18,8,14,35.853
alien,39,1,1,1,2016,2,18,8,14,39.305
alien,42,1,1,1,2016,2,18,8,14,44.262
foster,45,1,2,1,2016,2,18,8,14,50.107
alien,50,1,1,1,2016,2,18,8,14,54.216
foster,51,1,2,1,2016,2,18,8,14,57.754
foster,53,1,2,1,2016,2,18,8,15,0.81
alien,56,1,1,1,2016,2,18,8,15,3.948
foster,58,1,2,1,2016,2,18,8,15,7.751
alien,62,1,1,1,2016,2,18,8,15,11.037
foster,65,1,2,1,2016,2,18,8,15,18.43
foster,68,1,2,1,2016,2,18,8,15,21.938
foster,71,1,2,1,2016,2,18,8,15,25.141
alien,75,1,1,1,2016,2,18,8,15,28.959
foster,78,1,2,1,2016,2,18,8,15,33.807
alien,79,1,1,1,2016,2,18,8,15,37
alien,81,1,1,1,2016,2,18,8,15,40.311
foster,83,1,2,1,2016,2,18,8,15,43.624
foster,85,1,2,1,2016,2,18,8,15,52.089
foster,87,1,2,1,2016,2,18,8,16,6.998
alien,88,1,1,1,2016,2,18,8,16,10.415
alien,89,1,1,1,2016,2,18,8,16,13.584
foster,90,1,2,1,2016,2,18,8,16,18.143
foster,91,1,2,1,2016,2,18,8,16,26.338
foster,94,1,2,1,2016,2,18,8,16,44.049
alien,95,1,1,1,2016,2,18,8,16,51.914
foster,97,1,2,1,2016,2,18,8,17,4.896
alien,99,1,1,1,2016,2,18,8,17,15.658
alien,101,1,1,1,2016,2,18,8,17,19.128
alien,103,1,1,1,2016,2,18,8,17,27.518
foster,105,1,2,1,2016,2,18,8,17,36.859
foster,107,1,2,1,2016,2,18,8,17,44.371
foster,108,1,2,1,2016,2,18,8,17,48.303
foster,109,1,2,1,2016,2,18,8,17,52.003
foster,112,1,2,1,2016,2,18,8,17,55.483
foster,115,1,2,1,2016,2,18,8,18,1.177
foster,117,1,2,1,2016,2,18,8,18,4.492
foster,120,1,2,1,2016,2,18,8,18,7.773
foster,124,1,2,1,2016,2,18,8,18,14.945
