outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,9,8,5,44.283
1,1,2,2017,11,9,10,52,19.522
2,1,2,2017,11,9,12,46,1.077
3,2,1,2017,11,9,12,46,5.576
4,1,2,2017,11,9,13,57,37.98
5,1,2,2017,11,9,14,1,15.999
6,1,2,2017,11,9,14,4,35.956
7,1,1,2017,11,9,14,10,9.95
8,1,2,2017,11,9,14,20,5.556
9,1,2,2017,11,9,14,21,38.687
10,1,2,2017,11,9,14,45,41.82
11,1,2,2017,11,9,14,52,38.863
12,1,2,2017,11,9,14,55,5.821
13,1,2,2017,11,9,14,55,31.964
14,1,2,2017,11,9,14,55,54.966
15,1,1,2017,11,9,15,14,27.068
16,1,1,2017,11,9,15,15,49.764
17,1,2,2017,11,9,15,30,54.773
18,1,1,2017,11,9,17,23,37.699
