outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,11,7,20,24.404
1,2,1,2017,12,11,9,32,50.337
2,2,1,2017,12,11,9,33,35.708
3,2,1,2017,12,11,9,33,48.547
4,2,1,2017,12,11,9,34,1.749
5,2,2,2017,12,11,9,34,6.801
6,2,1,2017,12,11,9,34,30.24
7,2,1,2017,12,11,9,34,35.273
8,2,2,2017,12,11,9,34,46.517
9,2,1,2017,12,11,9,35,1.067
10,2,1,2017,12,11,9,35,6.04
11,2,1,2017,12,11,9,35,12.183
12,2,2,2017,12,11,9,35,15.789
13,2,1,2017,12,11,9,35,32.681
14,2,2,2017,12,11,9,35,58.68
15,2,1,2017,12,11,9,36,6.529
16,2,2,2017,12,11,9,36,10.022
17,2,1,2017,12,11,9,42,31.757
18,2,1,2017,12,11,9,42,45.222
19,2,1,2017,12,11,9,42,49.467
20,2,1,2017,12,11,9,43,13.677
21,2,1,2017,12,11,9,43,21.459
22,2,2,2017,12,11,9,43,26.636
23,2,1,2017,12,11,9,43,41.356
24,2,1,2017,12,11,9,43,49.396
25,2,2,2017,12,11,9,44,13.354
26,2,2,2017,12,11,9,44,28.195
27,2,2,2017,12,11,9,44,37.012
28,2,2,2017,12,11,9,45,9.587
29,2,1,2017,12,11,9,45,19.726
30,2,1,2017,12,11,9,45,37.44
31,2,2,2017,12,11,9,45,44.3
32,2,1,2017,12,11,9,46,6.501
33,2,2,2017,12,11,9,46,10.517
34,2,1,2017,12,11,9,46,16.624
35,2,1,2017,12,11,9,49,42.482
36,2,1,2017,12,11,9,50,5.278
37,2,2,2017,12,11,9,50,26.326
38,2,1,2017,12,11,9,50,47.416
39,2,2,2017,12,11,9,50,55.311
40,2,2,2017,12,11,9,51,9.527
41,2,1,2017,12,11,9,51,23.099
42,2,1,2017,12,11,9,51,27.251
43,2,2,2017,12,11,9,51,35.041
44,2,1,2017,12,11,9,53,6.931
45,2,2,2017,12,11,9,53,10.37
46,2,1,2017,12,11,9,55,1.544
47,2,2,2017,12,11,9,55,16.934
48,2,2,2017,12,11,9,55,35.712
49,2,1,2017,12,11,9,55,41.227
50,2,2,2017,12,11,9,56,18.145
51,2,2,2017,12,11,9,56,30.887
52,2,2,2017,12,11,9,56,37.655
53,2,2,2017,12,11,9,57,9.49
54,2,2,2017,12,11,9,57,37.314
55,2,2,2017,12,11,9,57,53.826
56,2,2,2017,12,11,9,58,3.674
57,2,2,2017,12,11,9,58,21.166
58,2,2,2017,12,11,9,58,45.491
59,2,2,2017,12,11,9,59,2.892
60,2,2,2017,12,11,9,59,16.13
