outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,6,7,20,43.798
1,2,1,2017,12,6,9,26,32.869
2,2,1,2017,12,6,9,26,40.735
3,2,1,2017,12,6,9,26,45.91
4,2,1,2017,12,6,9,26,54.324
5,2,2,2017,12,6,9,27,2.113
6,2,1,2017,12,6,9,27,14.281
7,2,1,2017,12,6,9,27,19.795
8,2,2,2017,12,6,9,27,23.463
9,2,1,2017,12,6,9,27,35.396
10,2,1,2017,12,6,9,27,44.91
11,2,1,2017,12,6,9,29,7.217
12,2,2,2017,12,6,9,29,20.902
13,2,1,2017,12,6,9,29,29.803
14,2,2,2017,12,6,9,29,55.862
15,2,1,2017,12,6,9,30,8.865
16,2,2,2017,12,6,9,30,19.427
17,2,1,2017,12,6,9,30,25.013
18,2,1,2017,12,6,9,30,29.849
19,2,1,2017,12,6,9,30,57.366
20,2,1,2017,12,6,9,31,1.708
21,2,1,2017,12,6,9,31,5.939
22,2,2,2017,12,6,9,31,17.142
23,2,1,2017,12,6,9,31,25.774
24,2,1,2017,12,6,9,32,22.417
25,2,2,2017,12,6,9,32,26.754
26,2,2,2017,12,6,9,35,11.76
27,2,2,2017,12,6,9,35,30.736
28,2,2,2017,12,6,9,35,55.387
29,2,1,2017,12,6,9,36,3.611
30,2,1,2017,12,6,9,36,6.827
31,2,2,2017,12,6,9,36,12.268
32,2,1,2017,12,6,9,36,16.16
33,2,2,2017,12,6,9,36,21.297
34,2,1,2017,12,6,9,37,8.036
35,2,1,2017,12,6,9,37,18.144
36,2,1,2017,12,6,9,37,33.649
37,2,2,2017,12,6,9,38,11.497
38,2,1,2017,12,6,9,38,16.325
39,2,2,2017,12,6,9,38,27.391
40,2,2,2017,12,6,9,38,33.943
41,2,1,2017,12,6,9,38,40.015
42,2,1,2017,12,6,9,38,44.922
43,2,2,2017,12,6,9,38,55.867
44,2,1,2017,12,6,9,42,12.332
45,2,2,2017,12,6,9,42,21.721
46,2,1,2017,12,6,9,42,35.66
47,2,2,2017,12,6,9,43,9.907
48,2,2,2017,12,6,9,43,25.304
49,2,1,2017,12,6,9,43,31.221
50,2,2,2017,12,6,9,43,35.163
51,2,2,2017,12,6,9,43,45.325
52,2,2,2017,12,6,9,43,49.161
53,2,2,2017,12,6,9,44,45.932
54,2,2,2017,12,6,9,44,54.246
55,2,2,2017,12,6,9,45,11.109
56,2,2,2017,12,6,9,45,23.66
57,2,2,2017,12,6,9,45,33.831
58,2,2,2017,12,6,9,45,40.202
59,2,2,2017,12,6,9,46,1.184
60,2,2,2017,12,6,9,46,7.23
