Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,11,10,8,5,39.012
1,1,0,2017,11,10,9,29,46.381
2,1,0,2017,11,10,9,53,29.244
3,1,0,2017,11,10,9,55,29.221
4,1,0,2017,11,10,9,55,29.335
5,0,1,2017,11,10,10,10,10.421
6,1,0,2017,11,10,10,13,4.769
7,0,1,2017,11,10,10,23,47.325
8,0,1,2017,11,10,13,56,54.198
9,0,1,2017,11,10,14,44,20.875
10,0,1,2017,11,10,16,39,12.456
11,0,1,2017,11,10,16,39,38.302
12,0,1,2017,11,10,16,39,43.296
13,0,1,2017,11,10,16,39,49.351
14,0,1,2017,11,10,16,40,20.051
15,0,1,2017,11,10,16,41,0.736
16,0,1,2017,11,10,16,41,2.296
17,0,1,2017,11,10,17,55,0.666
18,0,1,2017,11,10,17,55,28.946
19,0,1,2017,11,10,17,55,33.86
20,0,1,2017,11,10,17,55,51.541
21,0,1,2017,11,10,18,42,10.939
22,0,1,2017,11,10,18,42,51.175
23,0,1,2017,11,10,18,42,52.805
24,0,1,2017,11,10,18,44,47.512
25,0,1,2017,11,10,18,44,58.83
26,0,1,2017,11,10,18,50,42.401
