outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,26,8,5,57.057
1,2,1,2017,11,26,9,13,22.897
2,2,1,2017,11,26,9,30,33.142
3,2,1,2017,11,26,9,34,35.948
4,2,1,2017,11,26,9,35,7.413
5,2,2,2017,11,26,9,35,25.504
6,2,1,2017,11,26,9,35,29.299
7,2,1,2017,11,26,9,35,38.842
8,2,2,2017,11,26,9,35,48.552
9,2,1,2017,11,26,9,36,18.36
10,2,1,2017,11,26,9,36,22.071
11,2,1,2017,11,26,9,36,59.524
12,2,2,2017,11,26,9,37,2.579
13,2,1,2017,11,26,9,37,16.587
14,2,2,2017,11,26,9,38,3.481
15,2,1,2017,11,26,9,38,8.721
16,2,2,2017,11,26,9,38,18.775
17,2,1,2017,11,26,9,38,44.993
18,2,1,2017,11,26,9,38,50.395
19,2,1,2017,11,26,9,46,4.122
20,2,1,2017,11,26,9,47,27.727
21,2,1,2017,11,26,9,50,51.881
22,2,2,2017,11,26,9,51,17.974
23,2,1,2017,11,26,9,51,36.238
24,2,1,2017,11,26,9,51,40.385
25,2,2,2017,11,26,9,51,43.439
26,2,2,2017,11,26,9,52,52.641
27,2,2,2017,11,26,9,52,59.796
28,2,2,2017,11,26,9,53,14.525
29,2,1,2017,11,26,9,53,22.07
30,2,1,2017,11,26,9,53,25.595
31,2,2,2017,11,26,9,53,35.933
32,2,1,2017,11,26,9,53,44.221
33,2,2,2017,11,26,9,53,48.609
34,2,1,2017,11,26,9,53,57.641
35,2,1,2017,11,26,9,54,1.133
36,2,1,2017,11,26,9,54,7.6
37,2,2,2017,11,26,9,54,13.074
38,2,1,2017,11,26,10,14,31.582
39,2,2,2017,11,26,10,15,6.801
40,2,2,2017,11,26,10,15,17.322
41,2,1,2017,11,26,10,15,22.018
42,2,2,2017,11,26,10,15,37.018
43,2,1,2017,11,26,10,15,41.361
44,2,2,2017,11,26,10,15,44.383
45,2,1,2017,11,26,10,22,20.754
46,2,2,2017,11,26,10,25,27.54
47,2,2,2017,11,26,10,25,44.855
48,2,1,2017,11,26,10,37,49.603
49,2,2,2017,11,26,10,39,41.51
50,2,2,2017,11,26,10,39,54.014
51,2,2,2017,11,26,10,40,6.419
52,2,2,2017,11,26,10,40,12.912
53,2,2,2017,11,26,10,40,22.035
54,2,2,2017,11,26,11,12,52.079
55,2,2,2017,11,26,11,12,59.46
56,2,2,2017,11,26,11,13,18.19
57,2,2,2017,11,26,11,13,22.872
58,2,2,2017,11,26,11,13,31.975
59,2,2,2017,11,26,11,13,56.079
