Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,12,5,7,20,42.607
1,1,0,2017,12,5,7,37,24.829
2,1,0,2017,12,5,7,37,26.026
3,0,1,2017,12,5,7,53,15.796
4,0,1,2017,12,5,7,53,16.022
5,1,0,2017,12,5,8,17,11.921
6,1,0,2017,12,5,8,17,48.695
7,0,1,2017,12,5,8,33,43.474
8,1,0,2017,12,5,8,36,44.868
9,1,0,2017,12,5,8,37,1.519
10,1,0,2017,12,5,8,37,35.789
11,1,0,2017,12,5,8,37,35.851
12,1,0,2017,12,5,8,37,38.063
13,1,0,2017,12,5,8,40,12.341
14,1,0,2017,12,5,8,43,13.286
15,1,0,2017,12,5,9,1,9.063
16,1,0,2017,12,5,9,1,10.537
17,1,0,2017,12,5,9,1,54.502
18,1,0,2017,12,5,9,6,31.792
19,1,0,2017,12,5,9,9,28.667
20,1,0,2017,12,5,9,9,28.742
21,1,0,2017,12,5,9,9,53.731
22,1,0,2017,12,5,9,12,3.372
23,1,0,2017,12,5,9,14,6.464
24,0,1,2017,12,5,9,24,17.012
25,0,1,2017,12,5,9,30,47.224
26,0,1,2017,12,5,9,33,57.769
27,1,0,2017,12,5,9,37,23.03
28,1,0,2017,12,5,9,59,38.329
29,1,0,2017,12,5,9,59,38.481
30,1,0,2017,12,5,10,16,51.503
31,1,0,2017,12,5,10,19,52.913
32,1,0,2017,12,5,10,25,38.731
33,0,1,2017,12,5,10,42,23.964
34,0,1,2017,12,5,10,44,14.137
35,1,0,2017,12,5,10,45,59.35
36,0,1,2017,12,5,10,46,25.723
37,1,0,2017,12,5,10,47,13.169
38,0,1,2017,12,5,10,51,45.788
39,1,0,2017,12,5,11,25,38.305
40,0,1,2017,12,5,11,29,19.601
41,1,0,2017,12,5,11,31,14.531
42,1,0,2017,12,5,11,35,44.142
43,0,1,2017,12,5,11,40,16.031
44,1,0,2017,12,5,11,48,32.352
45,1,0,2017,12,5,11,48,37.238
46,1,0,2017,12,5,11,58,53.858
47,1,0,2017,12,5,11,58,54.03
48,1,0,2017,12,5,11,59,45.584
49,0,1,2017,12,5,12,25,1.984
50,0,1,2017,12,5,12,25,3.463
51,0,1,2017,12,5,12,25,4.001
52,0,1,2017,12,5,12,25,4.371
53,1,0,2017,12,5,12,47,7.159
54,1,0,2017,12,5,12,55,38.117
55,0,1,2017,12,5,12,57,33.203
56,0,1,2017,12,5,12,57,38.389
57,0,1,2017,12,5,12,57,52.517
58,0,1,2017,12,5,12,58,2.557
59,0,1,2017,12,5,13,1,10.319
60,0,1,2017,12,5,13,3,20.905
61,0,1,2017,12,5,13,7,12.82
62,0,1,2017,12,5,13,7,13.044
63,0,1,2017,12,5,13,10,16.993
64,0,1,2017,12,5,13,11,19.44
65,1,0,2017,12,5,13,17,49.212
66,1,0,2017,12,5,13,17,50.125
67,1,0,2017,12,5,13,18,15.569
68,1,0,2017,12,5,13,46,24.23
69,0,1,2017,12,5,13,53,35.404
70,0,1,2017,12,5,13,53,35.6
71,1,0,2017,12,5,13,56,34.766
72,0,1,2017,12,5,13,56,35.928
73,1,0,2017,12,5,15,8,13.643
74,1,0,2017,12,5,15,8,13.864
75,0,1,2017,12,5,15,25,50.341
76,0,1,2017,12,5,15,25,51.71
77,0,1,2017,12,5,15,28,2.275
78,1,0,2017,12,5,17,58,27.844
