outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,20,8,5,46.476
1,2,1,2017,11,20,9,36,5.324
2,2,1,2017,11,20,9,36,17.622
3,2,1,2017,11,20,10,35,11.226
4,2,1,2017,11,20,10,35,14.991
5,2,2,2017,11,20,10,44,12.506
6,2,1,2017,11,20,10,44,47.977
7,2,1,2017,11,20,10,44,54.068
8,2,2,2017,11,20,10,45,26.827
9,2,1,2017,11,20,10,45,30.164
10,2,1,2017,11,20,10,45,35.035
11,2,2,2017,11,20,10,46,4.059
12,2,1,2017,11,20,10,46,13.816
13,2,2,2017,11,20,10,46,36.189
14,2,1,2017,11,20,10,46,41.82
15,2,2,2017,11,20,10,46,47.543
16,2,1,2017,11,20,10,46,51.274
17,2,1,2017,11,20,10,47,0.848
18,2,1,2017,11,20,10,48,13.346
19,2,1,2017,11,20,10,48,28.465
20,2,1,2017,11,20,10,48,36.525
21,2,2,2017,11,20,10,53,15.216
22,2,1,2017,11,20,10,55,26.075
23,2,1,2017,11,20,10,55,29.202
24,2,2,2017,11,20,10,55,42.855
25,2,2,2017,11,20,10,55,56.138
26,2,2,2017,11,20,10,56,16.17
27,2,2,2017,11,20,10,56,35.467
28,2,1,2017,11,20,10,56,57.063
29,2,1,2017,11,20,10,57,40.85
30,2,2,2017,11,20,10,59,8.314
31,2,1,2017,11,20,10,59,23.642
32,2,2,2017,11,20,11,45,31.961
33,2,1,2017,11,20,11,47,7.168
34,2,1,2017,11,20,11,49,7.107
35,2,1,2017,11,20,11,50,53.96
36,2,2,2017,11,20,11,53,26.711
37,2,1,2017,11,20,11,56,1.742
38,2,2,2017,11,20,12,5,35.664
39,2,2,2017,11,20,12,16,51.199
40,2,1,2017,11,20,12,46,45.233
41,2,1,2017,11,20,12,47,19.957
42,2,2,2017,11,20,12,47,38.761
43,2,1,2017,11,20,12,58,7.149
44,2,2,2017,11,20,12,58,35.676
45,2,1,2017,11,20,13,0,57.458
46,2,2,2017,11,20,13,1,10.048
47,2,2,2017,11,20,13,1,15.905
48,2,1,2017,11,20,13,1,36.935
49,2,2,2017,11,20,13,3,36.701
50,2,2,2017,11,20,13,4,1.061
51,2,2,2017,11,20,13,4,6.945
52,2,2,2017,11,20,13,4,18.151
53,2,2,2017,11,20,13,4,33.637
54,2,2,2017,11,20,13,6,35.761
55,2,2,2017,11,20,13,7,37.543
56,2,2,2017,11,20,13,9,10.783
57,2,2,2017,11,20,13,10,46.264
58,2,2,2017,11,20,13,14,26.037
59,2,2,2017,11,20,13,31,41.827
