outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,19,8,5,55.535
1,2,1,2017,11,19,9,18,35.554
2,2,1,2017,11,19,9,18,42.03
3,2,1,2017,11,19,9,18,45.668
4,2,1,2017,11,19,9,31,19.061
5,2,2,2017,11,19,9,31,31.839
6,2,1,2017,11,19,9,31,36.529
7,2,1,2017,11,19,9,37,48.978
8,2,2,2017,11,19,9,55,10.923
9,2,1,2017,11,19,9,55,17.078
10,2,1,2017,11,19,9,56,11.111
11,2,1,2017,11,19,10,7,13.071
12,2,2,2017,11,19,10,7,26.721
13,2,1,2017,11,19,10,8,26.877
14,2,2,2017,11,19,10,8,52.704
15,2,1,2017,11,19,10,8,55.913
16,2,2,2017,11,19,10,10,19.137
17,2,1,2017,11,19,10,10,24.177
18,2,1,2017,11,19,10,10,49.594
19,2,1,2017,11,19,10,11,0.283
20,2,1,2017,11,19,10,11,26.174
21,2,1,2017,11,19,10,11,31.471
22,2,2,2017,11,19,10,11,56.124
23,2,1,2017,11,19,10,12,28.525
24,2,1,2017,11,19,10,16,11.685
25,2,2,2017,11,19,10,21,34.881
26,2,2,2017,11,19,10,22,19.258
27,2,2,2017,11,19,10,22,24.829
28,2,2,2017,11,19,10,22,30.729
29,2,1,2017,11,19,10,22,35.169
30,2,1,2017,11,19,10,23,9.848
31,1,2,2017,11,19,10,34,7.653
32,2,1,2017,11,19,10,34,8.184
33,1,2,2017,11,19,10,35,33.967
34,1,2,2017,11,19,10,58,40.479
35,2,1,2017,11,19,11,5,48.318
36,2,2,2017,11,19,11,7,44.704
37,2,2,2017,11,19,11,7,53.321
38,2,2,2017,11,19,11,11,19.936
39,2,1,2017,11,19,11,17,12.215
40,2,1,2017,11,19,11,20,6.032
41,2,2,2017,11,19,11,21,40.055
42,2,1,2017,11,19,11,29,47.318
43,2,2,2017,11,19,11,30,44.893
44,2,1,2017,11,19,11,31,15.768
45,2,1,2017,11,19,11,32,45.687
46,2,1,2017,11,19,11,35,46.978
47,2,2,2017,11,19,11,35,56.101
48,2,1,2017,11,19,11,40,14.598
49,2,2,2017,11,19,11,41,30.638
50,2,2,2017,11,19,11,44,51.34
51,2,1,2017,11,19,11,45,14.372
52,2,2,2017,11,19,11,45,21.821
53,2,2,2017,11,19,12,14,40.016
54,2,2,2017,11,19,12,43,39.027
55,2,2,2017,11,19,12,43,48.734
56,2,2,2017,11,19,12,44,3.578
57,2,2,2017,11,19,12,44,7.449
58,2,2,2017,11,19,12,44,13.086
59,2,2,2017,11,19,12,44,32.648
60,2,2,2017,11,19,12,44,43.86
