outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,8,7,20,27.759
1,2,1,2017,12,8,9,5,27.981
2,2,1,2017,12,8,9,5,33.186
3,2,1,2017,12,8,9,5,40.07
4,2,1,2017,12,8,9,6,58.148
5,2,2,2017,12,8,9,7,25.023
6,2,1,2017,12,8,9,7,37.932
7,2,1,2017,12,8,9,7,43.111
8,2,2,2017,12,8,9,7,47.424
9,2,1,2017,12,8,9,7,58.269
10,2,1,2017,12,8,9,8,10.331
11,2,1,2017,12,8,9,8,16.377
12,2,2,2017,12,8,9,8,19.963
13,2,1,2017,12,8,9,8,31.398
14,2,2,2017,12,8,9,16,38.628
15,2,1,2017,12,8,9,19,35.898
16,2,2,2017,12,8,9,19,49.393
17,2,1,2017,12,8,9,20,5.688
18,2,1,2017,12,8,9,20,9.599
19,2,1,2017,12,8,9,20,22.093
20,2,1,2017,12,8,9,20,36.536
21,2,1,2017,12,8,9,21,13.602
22,2,2,2017,12,8,9,22,14.798
23,2,1,2017,12,8,9,22,21.287
24,2,1,2017,12,8,9,22,27.602
25,2,2,2017,12,8,9,22,34.503
26,2,2,2017,12,8,9,23,18.072
27,2,2,2017,12,8,9,24,19.428
28,2,2,2017,12,8,9,24,52.84
29,2,1,2017,12,8,9,25,3.472
30,2,1,2017,12,8,9,25,24.813
31,2,2,2017,12,8,9,28,58.662
32,2,1,2017,12,8,9,29,4.356
33,2,2,2017,12,8,9,29,17.948
34,2,1,2017,12,8,9,29,41.167
35,2,1,2017,12,8,9,29,47.726
36,2,1,2017,12,8,9,30,7.574
37,2,2,2017,12,8,9,30,16.355
38,2,1,2017,12,8,9,30,28.284
39,2,2,2017,12,8,9,30,34.554
40,2,2,2017,12,8,9,31,0.444
41,2,1,2017,12,8,9,31,40.533
42,2,1,2017,12,8,9,31,44.505
43,2,2,2017,12,8,9,31,48.054
44,2,1,2017,12,8,9,32,51.173
45,2,2,2017,12,8,9,32,57.645
46,2,1,2017,12,8,9,33,44.861
47,2,2,2017,12,8,9,33,50.012
48,2,2,2017,12,8,9,34,8.8
49,2,1,2017,12,8,9,35,31.54
50,2,2,2017,12,8,9,35,39.917
51,2,2,2017,12,8,9,35,45.152
52,2,2,2017,12,8,9,45,13.938
53,2,2,2017,12,8,9,48,51.52
54,2,2,2017,12,8,9,49,30.641
55,2,2,2017,12,8,9,50,30.113
56,2,2,2017,12,8,9,50,43.402
57,2,2,2017,12,8,9,53,30.512
58,2,2,2017,12,8,9,53,43.475
59,2,2,2017,12,8,9,54,8.14
60,2,2,2017,12,8,9,58,11.469
