Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
130,1,0,2017,11,28,17,16,12.071
131,1,0,2017,11,28,17,16,45.669
132,1,0,2017,11,28,18,28,7.29
133,1,0,2017,11,28,18,29,6.616
134,1,0,2017,11,28,18,31,34.932
135,1,0,2017,11,28,18,31,45.335
136,1,0,2017,11,28,18,31,45.503
137,1,0,2017,11,28,18,31,45.585
138,1,0,2017,11,28,18,32,37.887
139,1,0,2017,11,28,18,32,47.214
140,1,0,2017,11,28,18,33,46.057
141,1,0,2017,11,28,18,34,5.585
142,1,0,2017,11,28,18,34,14.873
143,1,0,2017,11,28,18,34,30.723
144,1,0,2017,11,28,18,34,56.903
145,1,0,2017,11,28,18,34,58.663
146,1,0,2017,11,28,18,37,20.175
147,1,0,2017,11,28,18,37,20.221
148,1,0,2017,11,28,18,37,42.508
149,1,0,2017,11,28,18,39,29.409
150,1,0,2017,11,28,18,39,43.023
151,1,0,2017,11,28,18,40,6.247
152,1,0,2017,11,28,18,56,35.974
