outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,2,7,20,46.382
1,1,2,2017,12,2,9,10,25.359
2,1,2,2017,12,2,9,10,56.851
3,1,2,2017,12,2,9,11,7.482
4,1,1,2017,12,2,9,11,47.942
5,1,2,2017,12,2,9,12,9.3
6,1,2,2017,12,2,9,12,20.141
7,1,2,2017,12,2,9,12,40.314
8,1,2,2017,12,2,9,13,13.284
9,1,2,2017,12,2,9,13,29.793
10,1,2,2017,12,2,9,13,34.594
11,1,2,2017,12,2,9,13,48.803
12,1,1,2017,12,2,9,13,58.441
13,1,1,2017,12,2,9,14,19.966
14,2,1,2017,12,2,9,16,46.213
15,2,1,2017,12,2,9,16,51.655
16,2,1,2017,12,2,9,17,1.041
17,2,1,2017,12,2,9,17,5.102
18,2,1,2017,12,2,9,17,9.606
19,2,1,2017,12,2,9,17,46.474
20,2,1,2017,12,2,9,17,55.007
21,2,1,2017,12,2,9,24,40.157
22,2,1,2017,12,2,9,24,43.696
23,2,2,2017,12,2,9,24,51.7
24,2,1,2017,12,2,9,25,6.514
25,2,1,2017,12,2,9,33,5.39
26,2,2,2017,12,2,9,33,9.36
27,2,2,2017,12,2,9,33,24.545
28,2,2,2017,12,2,9,33,31.136
29,2,2,2017,12,2,9,33,38.97
30,2,1,2017,12,2,9,33,49.632
31,2,1,2017,12,2,9,33,54.264
32,2,2,2017,12,2,9,34,2.781
33,2,1,2017,12,2,9,34,13.912
34,2,2,2017,12,2,9,34,17.213
35,2,1,2017,12,2,9,34,28.721
36,2,1,2017,12,2,9,34,34.712
37,2,1,2017,12,2,9,34,38.675
38,2,2,2017,12,2,9,34,42.437
39,1,2,2017,12,2,9,45,43.174
40,1,2,2017,12,2,9,46,2.689
41,1,1,2017,12,2,9,46,51.109
42,1,2,2017,12,2,9,47,20.516
43,1,2,2017,12,2,9,51,47.353
44,1,1,2017,12,2,9,52,9.063
45,1,2,2017,12,2,9,52,17.871
46,1,1,2017,12,2,9,52,36.058
47,1,1,2017,12,2,9,52,59.833
48,1,2,2017,12,2,9,53,6.828
49,1,2,2017,12,2,9,56,33.147
50,1,1,2017,12,2,10,37,36.034
51,1,2,2017,12,2,10,37,58.614
52,1,2,2017,12,2,10,41,9.298
53,1,1,2017,12,2,10,41,20.684
54,1,1,2017,12,2,10,41,30.944
55,1,1,2017,12,2,10,41,45.022
56,1,2,2017,12,2,10,42,15.512
57,1,2,2017,12,2,10,43,27.15
58,1,1,2017,12,2,10,43,37.01
59,1,1,2017,12,2,10,43,41.205
60,1,2,2017,12,2,10,43,48.999
