outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,21,8,5,51.208
1,2,1,2017,11,21,9,31,32.339
2,2,1,2017,11,21,9,31,45.398
3,2,1,2017,11,21,9,32,4.697
4,2,1,2017,11,21,9,32,32.095
5,2,2,2017,11,21,9,32,43.363
6,2,1,2017,11,21,9,32,46.66
7,2,1,2017,11,21,9,33,4.37
8,2,2,2017,11,21,9,33,14.523
9,2,1,2017,11,21,9,34,41.848
10,2,1,2017,11,21,9,34,51.184
11,2,1,2017,11,21,9,38,41.037
12,2,2,2017,11,21,9,40,47.547
13,2,1,2017,11,21,10,10,13.678
14,2,2,2017,11,21,10,18,12.923
15,2,1,2017,11,21,10,20,19.03
16,2,2,2017,11,21,10,20,45.484
17,2,1,2017,11,21,10,24,48.32
18,2,1,2017,11,21,10,25,46.068
19,2,1,2017,11,21,10,29,52.295
20,2,1,2017,11,21,10,30,9.926
21,2,1,2017,11,21,10,31,2.756
22,2,2,2017,11,21,10,34,35.674
23,2,1,2017,11,21,10,37,28.259
24,2,1,2017,11,21,10,37,57.355
25,2,2,2017,11,21,10,42,25.655
26,2,2,2017,11,21,10,43,10.915
27,2,2,2017,11,21,10,43,21.372
28,2,2,2017,11,21,10,48,48.751
29,2,1,2017,11,21,10,48,57.041
30,2,1,2017,11,21,10,50,0.609
31,2,2,2017,11,21,10,51,35.658
32,2,1,2017,11,21,10,54,9.468
33,2,2,2017,11,21,10,54,36.911
34,2,1,2017,11,21,10,54,43.059
35,2,1,2017,11,21,10,56,31.057
36,2,1,2017,11,21,10,57,34.5
37,2,2,2017,11,21,10,58,23.585
38,2,1,2017,11,21,10,58,36.414
39,2,2,2017,11,21,11,0,23.765
40,2,2,2017,11,21,11,0,53.312
41,2,1,2017,11,21,11,1,1.443
42,2,1,2017,11,21,11,6,49.736
43,2,2,2017,11,21,11,8,49.279
44,2,1,2017,11,21,11,12,39.997
45,2,2,2017,11,21,11,13,36.84
46,2,1,2017,11,21,11,13,52.96
47,2,2,2017,11,21,11,15,15.248
48,2,2,2017,11,21,11,19,33.598
49,2,1,2017,11,21,11,20,13.724
50,2,2,2017,11,21,11,20,23.856
51,2,2,2017,11,21,11,20,26.871
52,2,2,2017,11,21,11,22,16.475
53,2,2,2017,11,21,11,22,27.08
54,2,2,2017,11,21,11,22,41.884
55,2,2,2017,11,21,11,26,48.425
56,2,2,2017,11,21,11,27,19.762
57,2,2,2017,11,21,11,27,38.077
58,2,2,2017,11,21,11,28,4.01
59,2,2,2017,11,21,11,29,5.476
60,2,2,2017,11,21,11,29,21.601
