outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,28,7,46,13.578
1,2,1,2017,11,28,9,5,40.843
2,2,1,2017,11,28,9,5,41.77
3,2,1,2017,11,28,9,6,0.117
4,2,1,2017,11,28,9,6,5.485
5,2,2,2017,11,28,9,6,12.069
6,2,1,2017,11,28,9,6,22.712
7,2,1,2017,11,28,9,6,33.289
8,2,2,2017,11,28,9,6,38.942
9,2,1,2017,11,28,9,6,48.46
10,2,1,2017,11,28,9,6,51.491
11,2,1,2017,11,28,9,7,5.054
12,2,2,2017,11,28,9,10,46.398
13,2,1,2017,11,28,9,10,51.476
14,2,2,2017,11,28,9,56,53.058
15,2,1,2017,11,28,10,0,59.713
16,2,2,2017,11,28,10,1,4.292
17,2,1,2017,11,28,10,1,9.345
18,2,1,2017,11,28,10,1,28.295
19,2,1,2017,11,28,10,1,31.589
20,2,1,2017,11,28,10,1,37.848
21,2,1,2017,11,28,10,11,18.003
22,2,2,2017,11,28,10,11,27.474
23,2,1,2017,11,28,10,11,34.913
24,2,1,2017,11,28,10,11,38.057
25,2,2,2017,11,28,10,11,47.341
26,2,2,2017,11,28,10,11,57.735
27,2,2,2017,11,28,10,12,7.43
28,2,2,2017,11,28,10,12,18.714
29,2,1,2017,11,28,10,12,25.066
30,2,1,2017,11,28,10,12,28.086
31,2,2,2017,11,28,10,12,33.485
32,2,1,2017,11,28,10,12,47.544
33,2,2,2017,11,28,10,34,46.695
34,2,1,2017,11,28,10,34,57.83
35,2,1,2017,11,28,10,35,20.76
36,2,1,2017,11,28,10,35,27.454
37,2,2,2017,11,28,10,35,32.869
38,2,1,2017,11,28,10,37,31.661
39,2,2,2017,11,28,10,37,35.935
40,2,2,2017,11,28,10,37,45.079
41,2,1,2017,11,28,10,38,0.152
42,2,1,2017,11,28,10,38,3.291
43,2,2,2017,11,28,10,38,8.502
44,2,1,2017,11,28,10,39,16.446
45,2,2,2017,11,28,10,39,26.761
46,2,1,2017,11,28,10,39,34.709
47,2,2,2017,11,28,10,40,31.483
48,2,2,2017,11,28,10,40,36.852
49,2,1,2017,11,28,10,40,41.946
50,2,2,2017,11,28,10,40,45.955
51,2,2,2017,11,28,10,40,50.534
52,2,2,2017,11,28,11,13,13.268
53,2,2,2017,11,28,11,13,42.882
54,2,2,2017,11,28,11,14,5.646
55,2,2,2017,11,28,11,14,12.424
56,2,2,2017,11,28,11,14,17.901
57,2,2,2017,11,28,11,14,29.242
58,2,2,2017,11,28,11,14,32.965
59,2,2,2017,11,28,11,14,39.781
60,2,2,2017,11,28,11,14,58.664
